id,title,body_file,phase,area,mode,priority,optional,dependencies,labels
BWASM-R-005,[BWASM-R-005] BWASM-R-005 — Integrate capability registry and Treaty with the browser runtime,docs/codex-spark-browser-wasm/tasks/03_runtime/BWASM-R-005-integrate-capability-registry-and-treaty-with-the-browser-runtime.md,03_runtime,browser-runtime,IMPLEMENT,P0,false,BWASM-R-002;BWASM-R-004;BWASM-K-005,milestone:browser-wasm;mode:implement;p0;spark-task;area:browser-runtime
BWASM-R-006,[BWASM-R-006] BWASM-R-006 — Verify and package browser-runtime evidence,docs/codex-spark-browser-wasm/tasks/03_runtime/BWASM-R-006-verify-and-package-browser-runtime-evidence.md,03_runtime,quality,EVIDENCE,P0,false,BWASM-R-001;BWASM-R-002;BWASM-R-003;BWASM-R-004;BWASM-R-005;BWASM-K-006,milestone:browser-wasm;mode:evidence;p0;spark-task;area:quality
BWASM-B-001,[BWASM-B-001] BWASM-B-001 — Add compiler target browser-wasm,docs/codex-spark-browser-wasm/tasks/04_build_deploy/BWASM-B-001-add-compiler-target-browser-wasm.md,04_build_deploy,compiler,IMPLEMENT,P0,false,BWASM-K-005;BWASM-R-003;BWASM-D-001,milestone:browser-wasm;mode:implement;p0;spark-task;area:compiler
BWASM-B-002,[BWASM-B-002] BWASM-B-002 — Define content-addressed browser artifact manifest and loader,docs/codex-spark-browser-wasm/tasks/04_build_deploy/BWASM-B-002-define-content-addressed-browser-artifact-manifest-and-loader.md,04_build_deploy,compiler,IMPLEMENT,P0,false,BWASM-B-001,milestone:browser-wasm;mode:implement;p0;spark-task;area:compiler
BWASM-B-003,[BWASM-B-003] BWASM-B-003 — Enforce browser import policy with source-located diagnostics,docs/codex-spark-browser-wasm/tasks/04_build_deploy/BWASM-B-003-enforce-browser-import-policy-with-source-located-diagnostics.md,04_build_deploy,compiler,IMPLEMENT,P0,false,BWASM-B-001;BWASM-D-003,milestone:browser-wasm;mode:implement;p0;spark-task;area:compiler
BWASM-B-004,[BWASM-B-004] BWASM-B-004 — Add Service Worker adapter and static-host bootstrap,docs/codex-spark-browser-wasm/tasks/04_build_deploy/BWASM-B-004-add-service-worker-adapter-and-static-host-bootstrap.md,04_build_deploy,devex,IMPLEMENT,P0,false,BWASM-R-002;BWASM-B-002;BWASM-D-003,milestone:browser-wasm;mode:implement;p0;spark-task;area:devex
BWASM-B-005,"[BWASM-B-005] BWASM-B-005 — Add CLI build, preview, inspect, and export workflows",docs/codex-spark-browser-wasm/tasks/04_build_deploy/BWASM-B-005-add-cli-build-preview-inspect-and-export-workflows.md,04_build_deploy,devex,IMPLEMENT,P0,false,BWASM-B-001;BWASM-B-002;BWASM-B-004,milestone:browser-wasm;mode:implement;p0;spark-task;area:devex
BWASM-B-006,"[BWASM-B-006] BWASM-B-006 — Verify cache activation, upgrades, rollback, and static deployment",docs/codex-spark-browser-wasm/tasks/04_build_deploy/BWASM-B-006-verify-cache-activation-upgrades-rollback-and-static-deployment.md,04_build_deploy,quality,VERIFY_OR_FIX,P0,false,BWASM-B-004;BWASM-B-005,milestone:browser-wasm;mode:verify_or_fix;p0;spark-task;area:quality
BWASM-C-001,"[BWASM-C-001] BWASM-C-001 — Implement browser-safe timer, crypto, logging, and restricted fetch capabilities",docs/codex-spark-browser-wasm/tasks/05_capabilities/BWASM-C-001-implement-browser-safe-timer-crypto-logging-and-restricted-fetch-capabilities.md,05_capabilities,capabilities,IMPLEMENT,P0,false,BWASM-R-005;BWASM-D-003,milestone:browser-wasm;mode:implement;p0;spark-task;area:capabilities
BWASM-C-002,[BWASM-C-002] BWASM-C-002 — Make the Postgres capability contract asynchronous before browser freeze,docs/codex-spark-browser-wasm/tasks/05_capabilities/BWASM-C-002-make-the-postgres-capability-contract-asynchronous-before-browser-freeze.md,05_capabilities,capabilities,IMPLEMENT,P0,false,BWASM-D-001,milestone:browser-wasm;mode:implement;p0;spark-task;area:capabilities
BWASM-C-003,[BWASM-C-003] BWASM-C-003 — Add optional PGlite-backed local SQL capability,docs/codex-spark-browser-wasm/tasks/05_capabilities/BWASM-C-003-add-optional-pglite-backed-local-sql-capability.md,05_capabilities,capabilities,IMPLEMENT,P1,true,BWASM-C-002;BWASM-R-005;BWASM-B-001,milestone:browser-wasm;mode:implement;p1;spark-task;area:capabilities
BWASM-C-004,[BWASM-C-004] BWASM-C-004 — Add namespaced IndexedDB KV persistence capability,docs/codex-spark-browser-wasm/tasks/05_capabilities/BWASM-C-004-add-namespaced-indexeddb-kv-persistence-capability.md,05_capabilities,capabilities,IMPLEMENT,P0,false,BWASM-R-005,milestone:browser-wasm;mode:implement;p0;spark-task;area:capabilities
BWASM-C-005,[BWASM-C-005] BWASM-C-005 — Fail closed for deployment-required and unavailable capabilities,docs/codex-spark-browser-wasm/tasks/05_capabilities/BWASM-C-005-fail-closed-for-deployment-required-and-unavailable-capabilities.md,05_capabilities,capabilities,IMPLEMENT,P0,false,BWASM-R-005;BWASM-B-003;BWASM-C-001;BWASM-C-002;BWASM-C-004,milestone:browser-wasm;mode:implement;p0;spark-task;area:capabilities
BWASM-Q-001,[BWASM-Q-001] BWASM-Q-001 — Build shared native-versus-browser conformance and differential suites,docs/codex-spark-browser-wasm/tasks/06_quality_release/BWASM-Q-001-build-shared-native-versus-browser-conformance-and-differential-suites.md,06_quality_release,quality,VERIFY_OR_FIX,P0,false,BWASM-K-006;BWASM-R-006;BWASM-B-006;BWASM-C-005,milestone:browser-wasm;mode:verify_or_fix;p0;spark-task;area:quality
BWASM-Q-002,[BWASM-Q-002] BWASM-Q-002 — Add real-browser CI lanes and supported-browser evidence,docs/codex-spark-browser-wasm/tasks/06_quality_release/BWASM-Q-002-add-real-browser-ci-lanes-and-supported-browser-evidence.md,06_quality_release,quality,IMPLEMENT,P0,false,BWASM-Q-001;BWASM-B-006;BWASM-D-004,milestone:browser-wasm;mode:implement;p0;spark-task;area:quality
BWASM-Q-003,[BWASM-Q-003] BWASM-Q-003 — Verify isolated preview-origin and untrusted-code security boundaries,docs/codex-spark-browser-wasm/tasks/06_quality_release/BWASM-Q-003-verify-isolated-preview-origin-and-untrusted-code-security-boundaries.md,06_quality_release,security,VERIFY_OR_FIX,P0,false,BWASM-R-004;BWASM-B-004;BWASM-C-001;BWASM-D-003,milestone:browser-wasm;mode:verify_or_fix;p0;spark-task;area:security
BWASM-Q-004,[BWASM-Q-004] BWASM-Q-004 — Add Browser-WASM observability and developer diagnostics,docs/codex-spark-browser-wasm/tasks/06_quality_release/BWASM-Q-004-add-browser-wasm-observability-and-developer-diagnostics.md,06_quality_release,devex,IMPLEMENT,P1,false,BWASM-R-006;BWASM-B-005,milestone:browser-wasm;mode:implement;p1;spark-task;area:devex
BWASM-Q-005,"[BWASM-Q-005] BWASM-Q-005 — Set and enforce WASM size, startup, latency, and leak budgets",docs/codex-spark-browser-wasm/tasks/06_quality_release/BWASM-Q-005-set-and-enforce-wasm-size-startup-latency-and-leak-budgets.md,06_quality_release,quality,VERIFY_OR_FIX,P0,false,BWASM-K-006;BWASM-R-006;BWASM-B-006;BWASM-D-004,milestone:browser-wasm;mode:verify_or_fix;p0;spark-task;area:quality
BWASM-Q-006,"[BWASM-Q-006] BWASM-Q-006 — Publish Browser-WASM documentation, limitations, and migration guide",docs/codex-spark-browser-wasm/tasks/06_quality_release/BWASM-Q-006-publish-browser-wasm-documentation-limitations-and-migration-guide.md,06_quality_release,devex,IMPLEMENT,P0,false,BWASM-B-005;BWASM-C-005;BWASM-Q-004,milestone:browser-wasm;mode:implement;p0;spark-task;area:devex;documentation
BWASM-Q-007,[BWASM-Q-007] BWASM-Q-007 — Run an external cleanroom static deployment and offline exercise,docs/codex-spark-browser-wasm/tasks/06_quality_release/BWASM-Q-007-run-an-external-cleanroom-static-deployment-and-offline-exercise.md,06_quality_release,quality,EVIDENCE,P0,false,BWASM-Q-002;BWASM-Q-003;BWASM-Q-005;BWASM-Q-006,milestone:browser-wasm;mode:evidence;p0;spark-task;area:quality
BWASM-Q-008,"[BWASM-Q-008] BWASM-Q-008 — Assemble release evidence, SBOM, checksums, provenance, and candidate packet",docs/codex-spark-browser-wasm/tasks/06_quality_release/BWASM-Q-008-assemble-release-evidence-sbom-checksums-provenance-and-candidate-packet.md,06_quality_release,quality,EVIDENCE,P0,false,BWASM-Q-001;BWASM-Q-007;BWASM-K-006;BWASM-R-006;BWASM-B-006,milestone:browser-wasm;mode:evidence;p0;spark-task;area:quality
BWASM-X-001,[BWASM-X-001] BWASM-X-001 — Spike QuickJS-NG-in-WASM engine parity and record GO or NO-GO,docs/codex-spark-browser-wasm/tasks/07_optional_parity/BWASM-X-001-spike-quickjs-ng-in-wasm-engine-parity-and-record-go-or-no-go.md,07_optional_parity,wasm,VERIFY_OR_FIX,P1,true,BWASM-K-005;BWASM-R-004;BWASM-D-004,milestone:browser-wasm;mode:verify_or_fix;p1;spark-task;area:wasm
BWASM-GATE,[BWASM-GATE] BWASM-GATE — Browser-WASM beta readiness GO or NO-GO,docs/codex-spark-browser-wasm/gates/BWASM-GATE-browser-wasm-beta-readiness-go-or-no-go.md,08_gate,quality,GATE_REVIEW,P0,false,BWASM-D-004;BWASM-K-006;BWASM-R-006;BWASM-B-006;BWASM-C-005;BWASM-Q-001;BWASM-Q-002;BWASM-Q-003;BWASM-Q-005;BWASM-Q-006;BWASM-Q-007;BWASM-Q-008,milestone:browser-wasm;mode:gate_review;p0;spark-gate;area:quality
